,Clean_Headlines
72," 'Israel’s military continued to target armed fighters in the northern part of the West Bank even as it conducts major operations in Gaza and Lebanon.', 'web_url'"
73," 'The United States is pushing Israel to reach a deal with the Lebanese militia by Thanksgiving, even as key details remained unresolved, Israeli officials said.', 'web_url'"
74," 'Stricter rules and punishments over campus protests seem to be working. Universities have seen just under 950 protest events this semester, compared with 3,000 in the spring.', 'web_url'"
75," 'As negotiators inch toward a cease-fire deal, the conflict between Israel and Hezbollah in Lebanon has intensified.', 'web_url'"
76," 'Residents had to dig through rubble in search of their neighbors after the main emergency service in Gaza said it had stopped operations in the north because it had come under Israeli attacks.', 'web_url'"
77," 'Many have used an old word to refer to recent events. Is it accurate?', 'web_url'"
78," 'Israel was targeting a senior Hezbollah commander, but failed to kill him, one Israeli official said. Hezbollah officials said none of the group’s leaders were at the attack site.', 'web_url'"
79," 'The Lebanese militant group captured an advanced Israeli anti-tank missile in the 2006 war, and its ally, Iran, reverse-engineered it, Israeli officials say.', 'web_url'"
80," 'The Qatari Foreign Ministry announced it had stepped back from talks, saying it would resume once Israel and Hamas “show willingness and seriousness.”', 'web_url'"
81," 'The Biden administration bears responsibility for the mass murder and starvation of Palestinian civilians.', 'web_url'"
82," 'An I.C.C. arrest warrant for Prime Minister Benjamin Netanyahu over the war in Gaza spurred outrage across Israel’s political spectrum. But in the long term, it’s not a good look for a prime minister.', 'web_url'"
83," 'Key details still needed to be worked out between Israel and Hezbollah, and disagreements could scuttle or delay any deal, the officials said. But some cited reasons for cautious optimism.', 'web_url'"
84," 'Hungary, unlike the United States, is a signatory to the court, which accused the Israeli leader of war crimes in Gaza. Responses to the warrant from other European countries were varied.', 'web_url'"
85," 'The wide-scale bombardment continued a day after a U.S. envoy held talks with Israeli officials on a possible cease-fire with Hezbollah militants.', 'web_url'"
86," 'In their new collections, Mosab Abu Toha and Najwan Darwish share unvarnished views of destruction, displacement and loss.', 'web_url'"
87," ""As Donald J. Trump nominates staunch supporters of Israel to key positions, advocacy groups are taking aim at the departing administration's policies."", 'web_url'"
88," 'The International Criminal Court said there were grounds to hold two Israeli leaders responsible for the crisis in Gaza, and a Hamas military leader for crimes against humanity.', 'web_url'"
89," 'Karim Khan had asked the court to issue warrants for Hamas’s top leader in Gaza, Yahya Sinwar; its political leader, Ismail Haniyeh; and its military chief, Muhammad Deif.', 'web_url'"
90," 'One of Prime Minister Benjamin Netanyahu’s advisers is accused of leaking a top-secret document to a German tabloid in an attempt to influence public sentiment on hostage negotiations.', 'web_url'"
91," 'More than 120 countries are members of the court. The United States, China, India, Russia and Israel are not.', 'web_url'"
92," 'Prime Minister Benjamin Netanyahu of Israel has allies among the members of the International Criminal Court. But he will have to plan his travel more carefully than before.', 'web_url'"
93," 'The legislation failed resoundingly but highlighted a growing Democratic divide over whether the United States should withhold some weapons to register its disapproval of Israel’s war tactics.', 'web_url'"
94," 'The envoy, Amos Hochstein, was in Israel and planned to meet with Prime Minister Benjamin Netanyahu, seeking a truce in the country’s war with the militant group Hezbollah.', 'web_url'"
95," 'Israel’s failure to tamp down the short-range rocket threat has put pressure on its government to embrace a cease-fire.', 'web_url'"
96," 'Patients and medical staff were wounded at Kamal Adwan Hospital, one of the few in northern Gaza still providing limited medical care, the health ministry and the hospital’s chief said.', 'web_url'"
97," 'In Israel, the military is now offering to preserve the sperm of soldiers killed in war. Parents and widows are struggling with the decision.', 'web_url'"
98, 'The president-elect has a starting point
99," 'First up is a resolution put forth by Senator Bernie Sanders, a Vermont independent who is Jewish, to deny Israel certain military weapons.', 'web_url'"
100," 'The lawsuit aims to highlight Iran’s role in the attack that killed about 1,200 people as well as its support for Hamas and other terrorist groups.', 'web_url'"
101," 'A judge revealed more details about how and why an aide to Prime Minister Benjamin Netanyahu gave sensitive information to the news media.', 'web_url'"
102," 'Complex negotiations involving several players are proceeding on two separate but related tracks.', 'web_url'"
103," 'President-elect Donald J. Trump’s agenda in the region is not yet clear, but the geopolitical landscape has changed significantly since he was last in office.', 'web_url'"
104," 'The attacks came as Israel’s military has been pounding an area just outside the Lebanese capital with some of the heaviest waves of bombardment in months.', 'web_url'"
105," 'Displaced young Palestinians are chronicling their wartime routines on TikTok and Instagram, allowing their followers abroad to see a more personal side of the conflict.', 'web_url'"
106," 'Israel’s bombing campaign has complicated U.S. diplomacy to stop the Israel-Hezbollah war.', 'web_url'"
107," 'The military said the attacks were meant to reduce the transfer of weapons and intelligence from Iran through Syria to Hezbollah, the armed group in Lebanon.', 'web_url'"
108," 'The region has changed dramatically since the Oct. 7 attacks.', 'web_url'"
109," 'Israel and Hezbollah indicated they were clashing deeper inside Lebanese territory. An escalation could undermine efforts to reach a cease-fire, as Iran’s leader signaled he supported ending the war with Israel.', 'web_url'"
110," 'Tensions among multiple sects in the country have long lurked just below the surface. As hundreds of thousands flee Israeli airstrikes in the south, those strains are worsening.', 'web_url'"
111," 'Israeli troops had withdrawn from Kamal Adwan Hospital after arresting most of the medical staff. The Israeli military said it was “unaware of a strike” there.', 'web_url'"
112," 'The attack occurred on the same day that Israel bombed sites in the Syrian capital that the Israeli military said were affiliated with a militant group. At least 15 people were killed, Syrian state media reported.', 'web_url'"
113," 'Arab Americans and liberal Jewish voters, however, have ample reason to fear the naming of pro-settlement, pro-Netanyahu officials to top foreign policy posts in the new administration.', 'web_url'"
114," 'After the recent violence around an Israeli team’s game in Amsterdam, French leaders insisted on proceeding under security with a France-Israel match, and on showing up, themselves.', 'web_url'"
115," 'In the last year, museums, book festivals, arts journals and other organizations have experienced bitter discord over what qualifies as tolerable speech about the conflict and its combatants.', 'web_url'"
116," 'Aides to Benjamin Netanyahu are under investigation over accusations of leaks, record-doctoring and intimidation. The Israeli prime minister’s office denies the claims.', 'web_url'"
117," 'For Gazans facing Israel’s latest offensive against Hamas in the north, every option is fraught with peril.', 'web_url'"
118," 'Aid agencies said that children in some areas of northern Gaza where Israel is mounting an offensive against Hamas will miss the doses, compromising the effectiveness of the campaign.', 'web_url'"
119," 'Plus, the streaming services you never knew about.', 'web_url'"
120," 'Mike Huckabee and Steven Witkoff have both made pro-Israel statements. Here’s a closer look at the two men who will help shape Mr. Trump’s approach in the Middle East.', 'web_url'"
121," 'If confirmed, Mr. Huckabee, a former pastor who has never served as an overseas diplomat, would play a crucial role in helping Mr. Trump try to end the war in Gaza.', 'web_url'"
122," 'A host of problems that will need more subtle and sophisticated uses of force and coercive diplomacy will confront the new president.', 'web_url'"
123," 'Plus, Israel’s cycle of war in North Gaza.', 'web_url'"
124," 'Antisemitism is reaching the point of catastrophe, for Jews and for Europe itself.', 'web_url'"
125," 'Reversing itself, the Treasury Department said U.S. sanctions do not prohibit hearing from foreigners deemed to be terrorists or other offenders.', 'web_url'"
126," 'Gazan agencies said that children were among those killed in the strike in Beit Lahia. A U.S. State Department spokesman called the strike “a horrifying incident with a horrifying result.”', 'web_url'"
127," 'So far, 62 people have been detained in connection with unrest surrounding a soccer match as officials said they continue to investigate antisemitic attacks, as well as incendiary behavior by both sides.', 'web_url'"
128," 'In the volatile Caucasus region, Russia and Iran, often seen as united in their aims, are vying to secure trade routes and influence. That leaves Western countries facing an unusual dilemma.', 'web_url'"
129," 'After more than a year of war, farmers have lost land, equipment and sometimes their lives.', 'web_url'"
130," 'A total of eight people were being held in connection with last week’s violence, and unrest in the largest city in the Netherlands continued on Monday night.', 'web_url'"
131," 'The International Criminal Court said there will be an investigation into sexual misconduct allegations against Karim Khan, the court’s chief prosecutor.', 'web_url'"
132," 'Leaders from across the Arab and Muslim world were in Riyadh for a meeting officially convened to discuss the fighting in Gaza and Lebanon.', 'web_url'"
133," 'Ms. Stefanik, who chairs the House Republican Conference, undertook a dramatic transformation that brought her to the center of Donald J. Trump’s orbit.', 'web_url'"
134," 'Benjamin Netanyahu, the Israeli prime minister, is on trial for bribery and fraud. Now he wants to delay giving testimony.', 'web_url'"
135," 'The widespread orders across southern Lebanon came amid what appeared to be intensifying efforts to reach a cease-fire.', 'web_url'"
136," 'Some in Iran’s new, more moderate government think the result of the presidential election provides an opportunity to make a lasting deal with the United States.', 'web_url'"
137," 'Envoys from Israel, Egypt, the United States and Qatar took part in the negotiations, but no agreements are expected until American voters choose their next president.', 'web_url'"
138," 'Antisemitic assaults on visiting Israeli soccer fans, and incendiary chants and attacks by some Israelis"
139," 'Dozens of journalists have been killed as a result of the Israeli military in Gaza. The Biden administration is not doing enough to stop it.', 'web_url'"
140," 'The Palestinian leader Mahmoud Abbas has met with Tiffany Trump’s father-in-law and written conciliatory letters to the president-elect, a strong supporter of Israel.', 'web_url'"
141," 'Gaza’s health ministry said that at least 25 children were among those killed in an Israeli strike on a residential building in Beit Lahia, in northern Gaza. The Israeli military said it was looking into the strike.', 'web_url'"
142," 'If liberals won’t discuss the devastating human costs of war, who will?', 'web_url'"
143," 'Israel cut off electricity in the first days of the war, leaving Palestinians to light the dark with cellphones and to cook over open flames.', 'web_url'"
144," 'The violence erupted around a soccer match between Israeli and Dutch teams in Amsterdam on Thursday.', 'web_url'"
145," 'Analysts said Israel was expected to wait until the outcome of the election before deciding on its stance on a cease-fire in Gaza. Hamas officials seem reluctant to compromise.', 'web_url'"
146," 'Dutch and Israeli officials described the clashes after a soccer match as antisemitic. The violence followed confrontations and mounting tensions in the city.', 'web_url'"
147," 'Footage shows a group of men, many wearing the colors of an Israeli soccer club, Maccabi Tel Aviv, appearing to attack a person and then scattering as emergency sirens could be heard approaching.', 'web_url'"
148," 'Jordan’s foreign minister, Ayman Safadi, appearing with Secretary of State Antony Blinken, said that Israel was conducting “ethnic cleansing” in Gaza.', 'web_url'"
149," 'The Gaza health ministry said the staff of the facility, Kamal Adwan Hospital, had been expelled or detained and urged people in Gaza with surgical skills to go there to save those patients they could.', 'web_url'"
150," 'Donald J. Trump won votes from Arab Americans and conservative pro-Israel Jews. Someone is likely to be disappointed.', 'web_url'"
151," 'The deadliest strikes hit the Bekaa Valley, in and around the historic city of Baalbek, overnight.', 'web_url'"
152," 'After supporting Joe Biden in 2020, the majority-Arab American city outside Detroit delivered an unlikely win for Donald Trump, who promised to bring peace to the Middle East.', 'web_url'"
153," 'A Michigan man tried to enter the Capitol Visitor Center on Tuesday with a letter for Congress expressing his discontent with the government’s response to the war in Gaza.', 'web_url'"
154," 'Over the years, he has been both a supporter and foe of Prime Minister Benjamin Netanyahu.', 'web_url'"
155," 'The president-elect could reshape government and may dramatically transform foreign and domestic policy in a second term.', 'web_url'"
156," 'The former president flipped back a state he won in 2016 only to lose in 2020.', 'web_url'"
157," 'Times foreign correspondents describe what’s at stake for China, Israel, Ukraine, global trade and climate.', 'web_url'"
158," 'Donald Trump staunchly supported Israel during his first term as president, even when that meant reversing decades of American policy.', 'web_url'"
159," 'Yoav Gallant, the departing defense minister, opposed Prime Minister Benjamin Netanyahu on key policies. His dismissal has stirred public discontent.', 'web_url'"
160," 'There is a belief in Prime Minister Benjamin Netanyahu’s right-wing Israeli government that a Trump administration will allow it to end its wars on favorable terms.', 'web_url'"
161," 'Crowds lit bonfires and blocked traffic on a major highway after the Israeli prime minister sacked the defense minister, citing “gaps” between their views on handling the war in Gaza.', 'web_url'"
162," 'The Israeli defense minister was fired by Prime Minister Benjamin Netanyahu after the two clashed over the course of Israel’s war in the Gaza Strip.', 'web_url'"
163," 'Donald J. Trump has said he would transform America’s relationship with allies and adversaries. He has pledged to end the war in Ukraine in 24 hours, increase tariffs and deport millions.', 'web_url'"
164," 'The prime minister has replaced an experienced former general with Mr. Katz, who had been foreign minister and who has staunchly supported Israel’s right-wing government.', 'web_url'"
165," 'Yoav Gallant, the ousted cabinet minister, and Prime Minister Benjamin Netanyahu, had sharp public disagreements over Israel’s war against Hamas and what will follow it.', 'web_url'"
166," 'The minister, Yoav Gallant, differed with Prime Minister Benjamin Netanyahu over the conduct of the war in Gaza and domestic political issues.', 'web_url'"
167, 'American politics have not been topmost in the minds of Gazans. “We only need one thing
168," 'Despite hopes that political shifts in Beirut could bring lasting peace to the Israel-Lebanon border, the United States may have to settle for a quicker fix.', 'web_url'"
169," 'Tens of thousands of U.S. citizens live in the Israeli-occupied territory, on opposing sides of an entrenched conflict, where neither Palestinians nor Israelis have much enthusiasm for Kamala Harris.', 'web_url'"
170," 'An individual with connections to Prime Minister Benjamin Netanyahu’s office is being investigated. Here’s what to know about how the furor began and what might happen next.', 'web_url'"
171," 'The facility, Kamal Adwan Hospital, was one of the last functioning hospitals in the north of the enclave.', 'web_url'"
172," '“Our campaign has not been about being against something, it is about being for something,” Vice President Kamala Harris said, avoiding any mention of her rival by name.', 'web_url'"
173," 'The U.S. secretary of state, visiting Israel, said the killing of Hamas’s leader last week could create an opening for peace, and he pushed the Israeli prime minister to allow more aid into Gaza.', 'web_url'"
174," 'Saudi Arabia, which leads the group, appears wary of unsettling markets just before the U.S. presidential election on Tuesday.', 'web_url'"
175," 'The small number of cancer patients from Gaza who are receiving care in Jordan’s capital, Amman, bear burdens beyond those of illness — deep feelings of guilt, along with fear and homesickness.', 'web_url'"
176," 'Gaza’s health ministry reported that dozens of people had been killed in a residential area of Khan Younis, as Israel launched a barrage of attacks across the region on Friday.', 'web_url'"
177," 'On Oct. 7, an Israeli college student opened her phone. What she did next landed her in prison.', 'web_url'"
178," 'The American Civil Liberties Union has sued Vail, Colo., on behalf of a Native American artist who painted a work entitled “G Is for Genocide.”', 'web_url'"
179," 'While Lebanese are united against Israel’s onslaught, some in southern towns where Hezbollah does not hold sway say they feel caught between Israel’s firepower and Hezbollah’s fighters.', 'web_url'"
180," 'It appeared to be the deepest Israeli operation by sea and ground inside Lebanon during the current war.', 'web_url'"
181," 'His comments came as the Pentagon said it would send additional fighter jets and destroyers to the Middle East.', 'web_url'"
182," 'This election has shown that Arab American and Muslim American lives are considered to be expendable.', 'web_url'"
183," 'After a year of war, at least one million people are facing months in the cold. Some said tents, blankets and warm clothes now qualified as luxuries.', 'web_url'"
184," 'Even with peace talks underway, the region is far from stable.', 'web_url'"
185," 'Many in Hollywood have struggled to navigate how to talk about their support for Israel on social media. Some of them have turned to Hen Mazzig for advice.', 'web_url'"
186," 'The Biden administration sent envoys including the C.I.A. director to the Middle East this week, but Israel, Hezbollah and Hamas all appeared far from a deal to end the fighting.', 'web_url'"
187," 'One week into the job, the Rev. Mitchell Ikenna Johnson resigned amid criticism by elected leaders that his past posts were anti-Semitic and misogynistic.', 'web_url'"
188," 'The Israeli military said its soldiers had engaged in close combat in the Nur Shams area of the occupied territory.', 'web_url'"
189," 'President Biden hosted his final pre-election international visitor in the Oval Office, where the talk focused on the Middle East and Europe. But uncertainty in the United States hung over the meeting.', 'web_url'"
190," 'Suzanne Nossel, who has led the free expression group since 2013, is leaving after a year of intense criticism of its response to the war in Gaza.', 'web_url'"
191," 'A second Donald J. Trump presidency would almost certainly mark a return to an era of foreign policy decrees, untethered to any policy process, at a moment of maximum international peril.', 'web_url'"
192," 'Thousands of people, including prize-winning writers, signed a letter pledging not to work with “complicit” organizations. Many others opposed the call in a separate letter.', 'web_url'"
193," 'Messages among leaders at Harvard and other universities, published by House Republicans, reveal discussions on how to balance public statements about the war and how to negotiate with protesters.', 'web_url'"
194," 'The rare step of closing the consulates reflected German protests over the execution of Jamshid Sharmahd, an outspoken opponent of the Iranian regime.', 'web_url'"
195," 'William Burns, the C.I.A. director, made a last-ditch attempt to move Gaza talks along before U.S. elections next week.', 'web_url'"
196," 'Secretary of State Antony J. Blinken is expected to depart on Monday in a renewed effort to bring calm to the region. The State Department did not say which other countries he might stop in.', 'web_url'"
197," 'An attack on culture divides the very people who should be in direct dialogue, reading one another’s books. It cannot be that the solution to conflict is to read less, not more.', 'web_url'"
198," 'Times foreign correspondents describe what’s at stake for the world, including China, Israel, Ukraine, global trade and climate.', 'web_url'"
199," 'Even if you think Harris is flawed on the Middle East, don’t try to punish the Democratic Party and risk a Trump election.', 'web_url'"
200," 'Former President Donald J. Trump is trying to persuade a potentially decisive group of Arab and Muslim voters that they should vote for him, even though he has spent years insulting and demonizing them.', 'web_url'"
201," 'Palestinians combed through rubble looking for survivors after an overnight Israeli airstrike hit a residential building in the town of Beit Lahia, in northern Gaza, killing dozens of people, according to Palestinian officials.', 'web_url'"
202," 'Peace talks were nowhere in sight and, despite Yahya Sinwar’s death, the violence seemed only to increase, as Israel struck northern Gaza and Hezbollah fired dozens of projectiles.', 'web_url'"
203," 'The Israeli military struck targets in the port city of Tyre on Wednesday, the latest phase of a bombardment campaign against the militant group Hezbollah.', 'web_url'"
204," 'Israel’s military warned civilians to leave Baalbek in the Bekaa Valley via three routes. The city had largely been spared Israeli bombardment until this week.', 'web_url'"
205," 'Saudi Arabia and its Gulf neighbors are seeking to reassure foreign investors that it’s still safe to do business amid the turmoil around the Mideast.', 'web_url'"
206," 'Israel has decimated Hamas’s military wing, along with much of Gaza. But the group’s small-scale, hit-and-run approach poses a threat in the enclave’s north.', 'web_url'"
207," 'Humanitarian agencies fear the new Israeli laws could have catastrophic effects for Gazans. They are already drawing sharp criticism from Israel’s allies.', 'web_url'"
208," 'After Mr. Hasan voiced support for Palestinians, the CNN guest, Ryan James Girdusky, said, “I hope your beeper doesn’t go off.”', 'web_url'"
209," 'The barrage of Israeli airstrikes in the Bekaa Valley on Monday night killed at least 60 people, officials said. It appeared to be the deadliest attack in the area since the war escalated last month.', 'web_url'"
210," 'Mr. Qassem had been the Lebanese militant group’s longtime deputy. He replaces Hassan Nasrallah, who was assassinated in an Israeli airstrike last month.', 'web_url'"
211," 'Dayenu, a nonprofit group, is mobilizing Jews around a threat that organizers warn every walk of life on earth must confront"
212," 'Most of the provisions of the laws, which could threaten UNRWA’s work by barring its operations in the country, will not take effect for three months.', 'web_url'"
213," 'Israel’s Knesset began its winter session on Monday against a backdrop of war in Gaza and Lebanon and with some contentious matters on the agenda.', 'web_url'"
214," 'Families say they are rationing what little food they can find while living under the constant threat of Israeli bombardment.', 'web_url'"
215," 'A once pivotal player has seen its influence become limited.', 'web_url'"
216," 'Before Hamas’s Oct. 7 attacks, Saudi Arabia was open to forging stronger ties with the Israelis. Now, a year into the war in Gaza, it is warming up to its traditional enemy, Iran.', 'web_url'"
217," 'Israel’s prime minister said Israeli airstrikes on Iran had achieved their goals, and Iranian officials did not threaten retaliation.', 'web_url'"
218," 'Israel began a military offensive in the northern part of the enclave several weeks ago, targeting what it said was a regrouped Hamas presence in the area.', 'web_url'"
219," 'Her advisers say the empathy she has expressed for Palestinians as vice president should not be confused with any willingness to break from U.S. foreign policy toward Israel as a presidential candidate.', 'web_url'"
