,Unnamed: 0,Clean_Headlines
45,45," 'QIRA, West Bank — As the line behind me grew, I read a novel. The drivers behind me leaned on their horns. I advanced a few meters and returned to reading ""Memory in the Flesh,"" by the Algerian writer Ahlam Mosteghanemi, thinking of her presentation of the ravages of colonialism from the viewpoint of its victims, enjoying the passion of the language.', 'web_url'"
46,46," 'Chile became the seventh country in South America to formally recognize an independent state of Palestine in the past month.', 'web_url'"
47,47," ""Interview with Mahmoud Darwish, Palestinian national poet, whose work explores sorrows of dispossession and exile and declining power of Arab world in its dealings with West; he has received Lannan Foundation Prize for Cultural Freedom, and foundation is financing major English translation of Darwish's poetry; photo (M)"", 'web_url'"
48,48," 'Members of the French National Assembly debated a bill on whether France should recognize Palestine as a state.', 'web_url'"
49,49," 'Photographs from Palestine, India and Mexico City.', 'web_url'"
50,50," 'INTRO', 'web_url'"
51,51," 'Text of Security Council resolution calling for creation of Palestinian state (M)0', 'web_url'"
52,52," 'Photos from Palestine, India, Florida and Spain.', 'web_url'"
53,53," 'The national team of Palestine has benefited from the modest influx of players from Chile of Palestinian descent.', 'web_url'"
54,54," 'M Gottfried, Palestine Govt official under Brit mandate calls for compromise dividing Palestine between Israelis and Palestinian Arabs, lr', 'web_url'"
55,55," ""William Safire Op-Ed column says First Lady Hillary Rodham Clinton's public support for Palestinian state must be taken as calculated move by her and President to increase pressure on Israel (M)"", 'web_url'"
56,56," ""Secretary of State Alexander M. Haig Jr.'s first major pronouncement on the Palestine problem, on May 27 before the Chicago Council on Foreign Relations, came as a heavy blow to moderate observers of the Middle East scene. No one can quarrel with the ''just, comprehensive, durable'' peace that Mr. Haig says he seeks, but neither his route nor tactics will take us to his destination. And the glimpses one catches between his lines do not point to his declared objective."", 'web_url'"
57,57," ""Delegation of European diplomats is quizzed in Israel about European financial support for Palestinian Authority, which was supposed to be delayed until Palestinians adopted strict new spending guidelines and put stop to off-the-books business deal; Miguel Moratinos, European Union's envoy to Middle East, says budget is under control and International Monetary Fund has given its approval; Salaam Fayyad, research economist for IMF, has held Palestinian Authority to strict accounting standards, and in doing so has helped reassure foreign aid donors; photo (M)"", 'web_url'"
58,58," '', 'web_url'"
59,59," '  Most Palestinians conceive of a Palestinian state as s overeign, democratic, and non-aligned. Such a state would have to bec reated in stages.   The first stage would involve ending the Israeli occupation and establishing, under United Nations auspices, an autonomous Palestinian authority that would immediately assume administrative responsibilities. It would be composed of the elected mayors who, while running their municipalities, would also serve as a unified body administering the territory. Simultaneously, United Nations (or other multinational) forces would take responsibility for security, and observers would be stationed in agreed demilitarized zones.', 'web_url'"
60,60," 'Article on explosion of responses to suggestion by Venice Biennale director Francesco Bonami to include Palestinian pavilion in 2003 event; issue ended in compromise with approval of project designed by Alessandro Petti and Sandi Hilal, in which large-scale identification cards and travel documents are dispersed throughout grounds of Biennale, metaphor for dispersal of Palestinians throughout world; photos (M)', 'web_url'"
61,61," 'To get Middle East peacemaking going again, Syria and Hamas should move to the forefront.', 'web_url'"
62,62," ""PARIS — A power struggle is escalating in Palestine between President Mahmoud Abbas's Fatah party and Hamas, led by Prime Minister Ismail Haniyeh, paving the way for an all-out confrontation. Unless Abbas and Haniyeh work together to build a national unity government, civil strife will devastate the impoverished land."", 'web_url'"
63,63," 'Given that statehood is likely to be recognized despite a U.S. veto, what are the options for the future?', 'web_url'"
64,64," 'Regarding ""Putin can rampage but Sharon can\'t?"" (Views, April 30) by Jackson Diehl"
65,65," 'Martin Luther King Jr. courageously spoke out about the Vietnam War. We must do the same when it comes to this grave injustice of our time. ', 'web_url'"
66,66," 'The killing in a Jerusalem synagogue was vile, and predictable. As Jews know, one day the oppressed fight back.', 'web_url'"
67,67," '', 'web_url'"
68,68," 'A full-page advertisement by a Cambridge, Mass., group known as the ""Association of Arab-American University Graduates"" (Nov. 2) calls on the United States to support a policy of political annihilation for the state of Israel and the substitution in its place of a ""democratic Palestinian state for its Jewish, Christian, and Moslem citizens.""  ', 'web_url'"
69,69," 'Anat Berko, a lawmaker from the governing Likud Party, drew ridicule after saying in a parliamentary debate that Palestine was a “borrowed term.”', 'web_url'"
70,70," 'Regarding the letter to the editor by Edmund R. Hanauer (July 11) that was a response to ""The demographic clock is ticking for Israel"" (Views, July 2) by Uri Dromi"
71,71," 'In your report (Sept. 17) on the Arab Summit conference, it was mentioned that Ahmed Chukeiry was the head of the ""Palestine refugee group."" What he probably had in mind was the Palestine Liberation Organization, which represents the Palestine Arabs, refugees as well as nonrefugees.  ', 'web_url'"
72,72," 'Regarding ""See Israel as a Jewish Nation-State, More or Less Democratic"" (Opinion, Nov. 7) by Robert A. Levine"
73,73," "" Contemporary Palestinian Art  The Bridge  521 West 26th Street, Chelsea  Through April 22        ''Made in Palestine"
74,74," 'excerpt from July 31, 1946, speech to Brit House of Lords by Lord Rothschild during debate on situation in Palestine; illus', 'web_url'"
75,75," 'I would like to invest hope in the Annapolis Middle East peace conference. Really, I would.', 'web_url'"
76,76," 'NEW YORK — I would like to invest some hope in the Annapolis Middle East peace conference, or meeting, or parley, or whatever the term is. Really, I would. The 59-year battle for the same land of Zionist and Palestinian national movements has not been good for anyone.', 'web_url'"
77,77," 'Analysts say investor interest in public Palestinian companies has grown over the past two years, a time when initial public offerings have remained at a standstill elsewhere in the Middle East.', 'web_url'"
78,78," 'Regarding the report ""Sharon Shows Weapons From Raid on Ship and Calls Arafat a Bitter Foe"" (Jan. 7)"
79,79," ""HIS sense for Palestinians' nostalgia, for their attachment to the land, even for what their cities actually looked like -- that would all come much later. On a Saturday in January last year, in his design studio in Santa Monica, Calif., all Doug Suisman had to go on were some maps and aerial photographs, an adrenaline spike supplied by a deadline, and the grandeur of his commission"
80,80," 'The so-called Prince Abdullah plan contains positive proposals for solving the Israeli-Palestinian problem. But it omits any reference to those who should be held responsible for this tragic conflict..What has befallen the Holy Land and its people for m', 'web_url'"
81,81," 'International pressure and sanctions on a right-wing government is the only thing that will change Israel’s behavior.', 'web_url'"
82,82," 'A Palestinian-American explores her roots and the Mideast divide in Annemarie Jacir’s first feature.', 'web_url'"
83,83," 'Beit Fauzi Azar, my home for the past two years, is one of the ""hidden palaces"" of Palestine, according to the Israeli conservation expert Sharif Sharif. These mansions, built in the late 19th century, are one of the few windows left on Palesti', 'web_url'"
84,84," 'Regarding ""In Deathbed Plea, Philosopher Asked Partition of Israel"" (Nov. 14)"
85,85," 'A shift in American policy on the Israeli-Palestinian conflict at a time of fluidity could make an important difference.', 'web_url'"
86,86," 'Article by Hatem Hussaini, who works for Arab League, on Palestinians; says Palestinians want peace; scores Israeli occupation of West Bank; scores US vetoes of UN resolutions calling for return of Palestinians to their homeland', 'web_url'"
87,87," 'Op-Ed article by Peter Hansen, Commissionner General of United Nations Relief and Works Agency, says Palestinians in West Bank and Gaza are experiencing humanitarian disaster and agency, despite difficulties of operating in highly politicized environment, is providing desperately needed aid (M)', 'web_url'"
88,88," '', 'web_url'"
89,89," 'geography, population and history of Palestine briefly described; map of Palestine during Brit mandate and of Middle East today (M)', 'web_url'"
90,90," ""FROM TIME IMMEMORIAL \n\n The Origins of the Arab-Jewish Conflict Over Palestine.  By Joan Peters.  601 pp. New York"
91,91," '', 'web_url'"
92,92," 'The United States cut its funding to the United Nations Educational, Scientific and Cultural Organization after Palestine was recognized as a full member.', 'web_url'"
93,93, 'Highlights from the International Herald Tribune archives
94,94," ""Is Jordan really Palestine? Ariel Sharon says yes. King Hussein says no. The State Department agrees with Hussein. It provides no evidence to support the King. But neither does the King; he just says it's ''ridiculous.''\n\nUntil recently, Hussein and the department saw no need to respond to the question, which had lingered at the edges of the Middle East debate for years. Now that the issue is joined, perhaps it will no longer be ignored. This is progress, since the matter is fundamental to resolution of the Palestinian-Israeli problem."", 'web_url'"
95,95," ""THE HAJ \n\n By Leon Uris.  566 pp. New York"
96,96," ""Profile of and interview with 16-year-old Randa Ghazy, whose novel Dreaming of Palestine was published in Italy last spring and has since been translated into six languages; Ghazy, born and reared in Italy by parents who emigrated from Egypt, comments on controversy that her book, fiery case against Israeli's treatment of Palestinians, has raised; photo (M)"", 'web_url'"
97,97, 'Ethan Bronner reviews book Prisoners
98,98," ""Traveling through the West Bank two weeks ago, I drove from Hebron to Bethlehem, through Ramallah and up to Nablus. What you see is a region racked by soaring unemployment among Palestinian youths and an economy sapped by the security measures imposed by Israel and Yasir Arafat. What you see are growing Israeli settlements around Jerusalem and new Israeli roads dissecting the West Bank more than ever. What you see is a grim picture -- and I couldn't be more optimistic.         That's right. Because if you look at the surface conditions in the West Bank  today you could only conclude that all the ingredients are there for an explosion. But it's not exploding. In fact, in an odd way it's sort of quiet. There's a story in that quiet.   "", 'web_url'"
99,99," 'More than 130 countries voted to recognize Palestine as a nonmember observer state, a stinging defeat for Israel and the United States and a boost for President Mahmoud Abbas of the Palestinian Authority.', 'web_url'"
100,100," '  In an apartment here earlier this winter, two men sat watching their children light Hanukkah candles. Then they talked of another winter night when they themselves had lighted Hanukkah candles.   They remembered how hard it had been to keep the flame burning in Chistopol prison, in one of the cold cells set aside for men like them who had challenged the Soviet Union with their minds. The candles were small pieces of wax paper that they had squirreled away for months. The hope of the two cellmates was that the paper would burn long enough for them to say their prayers. Some scraps did.', 'web_url'"
101,101," 'When is decolonization helpful? And when does it set us back?', 'web_url'"
102,102," 'If America truly wants the West Bank’s economy to grow, it must let us develop Zone C, free of Israeli control.', 'web_url'"
103,103, '  Phase One
104,104, 'Mar 20-23
105,105," 'R Bastuni article holds both Israel and Arab states seek to ignore existence of Arab-Palestinian entity; calls for creation of bi-national Palestinian-Jewish state; illus', 'web_url'"
106,106," 'C Hourani lr on Nov 19 ed holds Jarring mandate should be enlarged to include Palestinian Arabs in peace negotiations', 'web_url'"
107,107," 'JERUSALEM — In ""The Sound of Music,"" Julie Andrews cheers her young charges in war-torn Europe by singing, ""Let\'s start at the very beginning, a very good place to start.""', 'web_url'"
108,108, 'LEAD
109,109," ""Ed notes Arab villages of Berem and Ikrit, whose inhabitants were evacuated during ‘48 war because of security reasons, now epitomize crisis of conscience among Israelis; notes Israeli C/S Elazar, in reaffirming ban on their return to their homes in July, said that is will be militarily ‘difficult’ to have Arab settlements in zone of possible combat and infiltration; holds basic reason for Israeli Govt's continuing ban is fear that if any Arab communities are allowed to return to their former homes, there will ensue rush of similar requests from other Palestinian refugees; says Cabinet may be correct to anticipate such result but what Premier Meir and her colleagues did not foresee was impressive groundswell of agitation inside Israel from Jews and Arabs against ban; notes that A L Eliav, former Sec‐Gen of Labor Party, is publicly saying that Israel's duty and best interests lie in moving to redress grievances of displaced Palestinians; notes Jordanian King Hussein seems increasingly inclined to consider separate agreement with Israel and Israeli leaders should not let outmoded perceptions of Palestinian people blind them to psychological and pol opportunities that may be opening up"", 'web_url'"
110,110," 'D Rockefeller gives UN relief agency $1-million from NEED; orgn has given $4.5-million since Sept', 'web_url'"
111,111," '', 'web_url'"
112,112," 'Regarding ""Israel, Palestine and NATO"" (Views, Dec. 12) by Thomas L. Friedman"
113,113," 'In its recent policies of blockade and extensive incursion in the territories controlled by the Palestinian Authority, the Israeli government headed by Prime Minister Ariel Sharon has placed the whole civil society in Palestine under siege. .Over 450 no', 'web_url'"
114,114," 'For Israel and Palestine, the two-state solution now looks remote, and Jeffrey Goldberg’s new novel provides a useful primer on why things seem so pessimistic.', 'web_url'"
115,115," 'NABLUS, West Bank — Their worried parents call them the lost generation of Palestine"
116,116," ""The director of the U.N. Relief and Works Agency for Palestine refugees is once more compelled to report to the General Assembly that this tragic problem has not been solved. The costs for the basic necessities are, and have been for years, seven cents a day for each refugee. Nobody under U.N.R.W.A.'s supervision is starving for food.  "", 'web_url'"
117,117," 'Readers respond to David Brooks’s Jan. 29 column, “The Long Transition“"
118,118," 'Europe is becoming a diplomatic battlefield, with the Americans, Israelis and Palestinians trying to sway opinion among the 27 member states.', 'web_url'"
119,119," ""A principal consequence of the Taliban's defeat is that right-wing Islamic militancy has been discredited as a worldwide phenomenon..The zeal with which the Taliban surrendered to the coalition forces, at times without giving battle, came as a rude sho"", 'web_url'"
120,120," 'Regarding ""Mired in Contradictions, Israel Has Lost the Road to Peace"" (Opinion, March 11) by William Pfaff"
121,121," 'Palestinians who seek an independent state and an end to the Israeli occupation should avoid violence and embrace peaceful resistance.', 'web_url'"
122,122," 'WASHINGTON, Feb. 25 (AP) President Carter told a young Jewish audience today that he opposed an independent Palestinian state and would not negotiate with the Palestine Liberation Organization until certain conditions were met.  ', 'web_url'"
123,123," 'Five months after the United Nations General Assembly voted to upgrade Palestine’s status to a nonmember observer state, Google has followed suit.', 'web_url'"
124,124," 'A M Rosenthal Op-Ed column says alliance between Iraqi Pres Saddam Hussein and Palestinians is reality in Middle East, is growing in importance politically, emotionally and militarily, and is not about to go away; says critical consequence of Baghdad-Palestine axis is that whatever borders or status of new Palestine turn out to be, Israel will have at frontiers most fervent ally of dictator who has made Israel his particular target (M)', 'web_url'"
125,125," 'The International Monetary Fund says the Palestinian Authority is fully capable of running the economy of an independent state.', 'web_url'"
126,126," 'The United Nations Special Political Committee is deadlocked on the question of what to do about the more than 900,000 Arab refugees now existing in the Gaza Strip, in Jordan, and in smaller numbers in Lebanon and in Syria. The subject comes up every year when the Director of the U. N. Relief and Works Agency for Palestine Refugees reports and asks for the money he needs.  ', 'web_url'"
127,127," 'Vatican reaches first treaty that formally recognizes the State of Palestine, with agreement on Catholic Church activities in areas controlled by the Palestinian Authority. Deborah Lutterbeck reports.', 'web_url'"
128,128," 'A number of European Jewish architects absorbed the ideals of Bauhaus in Germany before emigrating to Palestine, which became a laboratory for the style.', 'web_url'"
129,129," 'I was 11 in 1967 when the Israeli army occupied Ramallah and I hid with my brothers and sisters beneath our beds, waiting until we would die under the heavy Israeli fire. I tried after that to live a ""normal"" life with my family, to go to schoo', 'web_url'"
130,130," 'An e-mail from the leadership of a prominent Jewish congregation in New York supporting the United Nations’ vote to upgrade Palestine to a nonmember observer state.', 'web_url'"
131,131," 'Two 19th century nuns from Ottoman-ruled Palestine were made saints at a ceremony in St. Peter’s Square on Sunday, just days after the Vatican recognized Palestinian statehood.', 'web_url'"
132,132," 'The road map for an Israeli-Palestinian peace shares with the defunct Oslo process a major fallacy. They both assume that peace between a desperate nation in a state of revolt and an occupying force driven by the claim of historical rights and a longing f', 'web_url'"
133,133," 'ed lauds plan', 'web_url'"
134,134," ""The 29th of November was the date set by the United Nations General Assembly to decide the future of Palestine. The year was 1947..Hitler's Thousand Year Reich had been reduced to dust, but his troops had turned Europe into a graveyard of millions..T"", 'web_url'"
135,135," 'resolution texts', 'web_url'"
136,136," 'Israel pulled back tanks from friction points and Palestinian police restrained rock throwers Thursday, in first tentative steps to carry out a truce agreement reached by Palestinian leader Yasser Arafat and former Israeli Prime Minister Shimon Peres in an overnight meeting. The cease-fire was to take hold Thursday afternoon with announcements by Arafat and Israeli Prime Minister Ehud Barak. However, in the hours leading up to the deadline, a 17-year-old Palestinian was killed in a rock-throwing clash with Israeli troops in the West Bank village of Hizme, near Jerusalem, and Palestinian gunmen fired on Israeli positions in the West Bank town of Hebron, drawing return fire. Clashes also erupted in the Gaza Strip. But in at least two locations, near the Jewish settlements of Kfar Darom and Netzarim in Gaza, Palestinian police pushed back rock throwers for the first time in several weeks. Near Netzarim, police bundled several dozen stone throwers in trucks and drove them away. Previous cease-fire agreements, including one brokered by President Clinton last month, did not hold, with each side accusing the other of violating commitments. Peres and Arafat met at the Palestinian leader\'s Gaza City office for two hours late Wednesday in the first high-level meeting since the conflict erupted Sept. 28. At least 162 people have been killed in the fighting, most of them Palestinians. ""We hope we shall have two or three days without funerals,"" Peres told Associated Press Television News. ""We shall return to normalize the situation in the territories and return to peace talks."" Palestinian peace negotiator Nabil Shaath said that according to the understandings reached, Israel will gradually lift its closure of Palestinian areas, permit Palestinian workers to return to jobs in Israel and open Gaza International Airport, as well as border crossings with Egypt and Jordan. Such restrictions have cost the Palestinian economy about $4 million a day, the U.N. relief agency for Palestinian refugees said Wednesday. Arafat convened his Cabinet ministers around noon. In an apparent call for calm, the Palestinian Information Ministry said in a statement that ""the Palestinian leadership asks our Palestinian people and all our national forces to forge a united stand and express ourselves peacefully in all circumstances in our national struggle."" But the leader of the Islamic militant group Hamas, Sheik Ahmed Yassin, said the Palestinian uprising against Israel would continue. Yassin said the protests were an expression of popular anger and could not be reined in by an order from Arafat. Barak and Arafat spoke by phone before the 2 p.m. deadline to coordinate the wording of their announcements, which were to be broadcast live by Israeli and Palestinian media, respectively, Barak\'s office said. Barak also expressed sorrow for the killing of the Palestinian teen-ager Thursday. Israeli security officials, meanwhile, announced that a Palestinian militant has been caught in the Israeli town of Upper Nazareth. The officials said the man had plotted to carry out a suicide attack in northern Israel. On Thursday morning, Israel pulled back tanks from several friction points in the Gaza Strip, including the Karni crossing, where eight Palestinians were killed in two days of fierce gun battles. One of the Karni protesters died Thursday of injuries sustained earlier. Israeli soldiers withdrew from a Palestinian police post at Karni which they had seized earlier this week. Israel also lifted its siege of several West Bank towns, including Nablus, Bethlehem and Hebron. Within a few hours, Palestinians were to be able to move freely in the West Bank, said Brig. Gen. Ron Kitrey, the Israeli army spokesman. Israeli and Palestinian troop commanders and lower-level officers held a series of talks in the West Bank and Gaza to work out the details of the truce. As a result of the agreement, Israel at the last minute froze attacks on Palestinian targets that were to come as retaliation for the killing of three Israeli soldiers in gun battles with Palestinians on Wednesday. The three soldiers were the first to die in combat since Oct. 1. Seven Palestinians were also killed, as armed clashes intensified in the West Bank and Gaza Strip and the conflict appeared to be spiraling out of control. Denouncing what he called ""grave escalation initiated by the Palestinian Authority,"" Barak convened a special session of his Cabinet late Wednesday and ""decided on a number of appropriate steps,"" a statement said. But the Peres-Arafat meeting led to the decision to hold the fire. Each side has blamed the other for the violence. Israel says its forces have responded with restraint to Palestinian attacks. The Palestinians charge that Israel has used excessive force in putting down demonstrations. A pitched battle was fought Wednesday in the village of Al Khader, near Bethlehem, where two Israeli soldiers and three Palestinians were killed Wednesday. Four Israeli soldiers were wounded. Heavy Palestinian gunfire prevented Israeli forces from reaching the soldiers who were hit, so the Israelis sent attack helicopters to rake the village with machine guns while tanks provided covering fire for an armored vehicle to retrieve the soldiers. Israeli attack helicopters and tanks fired at Palestinian intelligence headquarters in Jericho overnight, in retaliation for Palestinian gunfire at an Israeli army outpost where a reserve army officer was killed, the military said.', 'web_url'"
137,137," ""C L Sulzberger article on Middle East; says Israelis have made crucial mistakes in diplomacy since '67 war; says '67 triumph should have been followed up by generous offer on which peace could be based; says that even in recent unsuccessful Kissinger shuttle, Israel failed to give while the giving was good; holds that it is now up to Arabs to define durable peace created on basis of frontiers and up to Israelis to indicate promptly what they will give in exch, including some recognition of displaced Palestinian Arabs; says that without valid internatl guarantee, Israel cannot be blamed for refusing to yield strategic areas; says that such guarantee must include both USSR and US commitments"", 'web_url'"
138,138," 'The best way to judge whether the new ""road map"" for Middle East peace put forward by the Bush administration offers a realistic prospect for a renewed political process and an Israeli-Palestinian peace agreement is to ask why earlier initiative', 'web_url'"
139,139," 'Mr. Netanyahu only confirmed an unspoken truth. And yet something has changed.', 'web_url'"
140,140," 'Ziff, W B; Rape of Palestine', 'web_url'"
141,141," 'The Gaza clash is a reminder that Obama’s second term will have to deal with Israel and Palestine.', 'web_url'"
142,142," 'M L Mendell elected dir', 'web_url'"
143,143," 'Amid serious conflict between Israel and Hamas, readers on both sides raised objections.', 'web_url'"
144,144," ""UN Relief and Works Agency for Palestine Refugees on Apr 1 says Norway will make 'extraordinary contribution' to agency of about $138,000"", 'web_url'"
145,145," ""Popular Front for Liberation of Palestine claims responsibility for Tal's assassination; silent on repts that orgn called Black Sept claimed responsibility"", 'web_url'"
146,146," 'comment on proposals for autonomous west bank state', 'web_url'"
147,147," 'While the United Nations salvage vessels work their slow way up or down the Suez Canal, and as the Israeli troops withdraw slowly across the Sinai Desert but not from Gaza, and President Eisenhower and his advisers outline a new Middle Eastern policy--while all this is going on the problem of mode than 900,000 Arab refugees remains unsolved.  ', 'web_url'"
148,148," 'Margarett Loke reviews 19th-century photographs of Palestine at Dahesh Museum; photo (M)', 'web_url'"
149,149," '    The Seventh Million The Israelis and the Holocaust By Tom Segev Illustrated. Translated by Haim Watzman. 593 pages. Hill & Wang. $27.50.', 'web_url'"
150,150," 'There is a social media storm of outrage about the removal of a “Palestine” label, but Google says the label was not there in the first place.', 'web_url'"
151,151," 'Book The Fifth Gospel. A Parable About the Land of Christ, edited by I Mancini, revd by P L Maier; illus', 'web_url'"
152,152," ""  At the peak of detente, the Soviet Communist Party issued secret instructions to supply arms to a militant Palestinian guerrilla group for use against Israelis and Americans, a Russian official said today.    The official, Sergei M. Shakhrai, a senior legal adviser to the Russian President, Boris N. Yeltsin, brandished the document as one of thousands he said the Government will present to Russia's highest court when it begins deliberations on Tuesday on the legality of banning the Communist Party."", 'web_url'"
153,153," 'ed urges compromise on refugees to reach settlement', 'web_url'"
154,154," 'The announcement was criticized by Israeli officials who said it would encourage the Palestinians not to negotiate seriously.', 'web_url'"
155,155," 'Impasse reached between Arabs and Israelis over textbooks to be used in UN Relief and Works Agency schools in occupied territory of west bank of Jordan and in Gaza Strip despite intervention of UNESCO dir Maheu; controversy revd; Israelis explain their position', 'web_url'"
